,frame,id,y,x,dy,dx,a,b,c,d,person_names,status
0,8,0,545.75,222.8,51.79,304.63,1,-1,-1,-1,Shubhankar,Not Working
1,9,0,544.22,220.57,54.94,308.03,1,-1,-1,-1,Shubhankar,Not Working
2,10,0,541.8,217.13,59.89,311.66,1,-1,-1,-1,Shubhankar,Not Working
3,11,0,540.29,216.87,70.86,318.98,1,-1,-1,-1,Shubhankar,Not Working
4,12,0,540.01,217.43,84.69,325.15,1,-1,-1,-1,Shubhankar,Not Working
5,13,0,537.65,220.06,96.14,327.97,1,-1,-1,-1,Shubhankar,Not Working
6,14,0,533.98,222.26,104.43,329.14,1,-1,-1,-1,Shubhankar,Not Working
7,15,0,531.32,223.18,108.61,327.9,1,-1,-1,-1,Shubhankar,Not Working
8,16,0,533.77,221.57,109.17,327.88,1,-1,-1,-1,Shubhankar,Not Working
9,17,0,542.05,221.84,109.82,330.01,1,-1,-1,-1,Shubhankar,Not Working
10,18,0,549.5,226.31,114.5,331.94,1,-1,-1,-1,Shubhankar,Not Working
11,19,0,553.59,225.49,120.07,329.64,1,-1,-1,-1,Shubhankar,Not Working
12,20,0,556.82,226.75,121.86,330.16,1,-1,-1,-1,Shubhankar,Not Working
13,21,0,562.77,230.04,122.02,336.47,1,-1,-1,-1,Shubhankar,Not Working
14,22,0,567.61,230.18,119.92,341.63,1,-1,-1,-1,Shubhankar,Not Working
15,23,0,571.46,229.09,116.78,344.42,1,-1,-1,-1,Shubhankar,Not Working
16,24,0,576.38,227.03,116.28,349.32,1,-1,-1,-1,Shubhankar,Not Working
17,25,0,586.54,228.19,120.86,355.03,1,-1,-1,-1,Shubhankar,Not Working
18,26,0,595.13,227.03,127.89,359.64,1,-1,-1,-1,Shubhankar,Not Working
19,27,0,599.21,229.69,131.19,364.88,1,-1,-1,-1,Shubhankar,Not Working
20,28,0,603.01,229.65,128.87,369.49,1,-1,-1,-1,Shubhankar,Not Working
21,29,0,609.17,231.07,130.0,372.16,1,-1,-1,-1,Shubhankar,Not Working
22,30,0,617.19,229.84,133.09,376.57,1,-1,-1,-1,Shubhankar,Not Working
23,31,0,624.08,226.99,137.32,381.56,1,-1,-1,-1,Shubhankar,Not Working
24,32,0,630.79,228.46,142.11,388.68,1,-1,-1,-1,Shubhankar,Not Working
25,33,0,633.94,228.5,144.94,394.25,1,-1,-1,-1,Shubhankar,Not Working
26,34,0,634.0,229.67,145.25,399.79,1,-1,-1,-1,Shubhankar,Not Working
27,35,0,631.49,227.85,142.86,404.97,1,-1,-1,-1,Shubhankar,Not Working
28,36,0,628.48,224.82,140.51,409.5,1,-1,-1,-1,Shubhankar,Not Working
29,37,0,624.81,221.95,140.46,413.87,1,-1,-1,-1,Shubhankar,Not Working
30,38,0,622.48,219.05,142.09,417.73,1,-1,-1,-1,Shubhankar,Not Working
31,39,0,621.49,218.03,144.67,422.84,1,-1,-1,-1,Shubhankar,Not Working
32,40,0,618.16,220.22,146.81,428.68,1,-1,-1,-1,Shubhankar,Not Working
33,41,0,614.24,219.95,148.87,431.69,1,-1,-1,-1,Shubhankar,Not Working
34,42,0,609.43,221.71,150.94,437.48,1,-1,-1,-1,Shubhankar,Not Working
35,43,0,606.17,224.14,151.88,444.53,1,-1,-1,-1,Shubhankar,Not Working
36,44,0,603.54,224.73,151.7,451.64,1,-1,-1,-1,Shubhankar,Not Working
37,45,0,600.43,221.43,151.24,457.32,1,-1,-1,-1,Shubhankar,Not Working
38,46,0,595.52,220.26,151.96,460.45,1,-1,-1,-1,Shubhankar,Not Working
39,47,0,589.9,217.87,151.91,463.43,1,-1,-1,-1,Shubhankar,Not Working
40,48,0,579.04,216.14,154.36,465.43,1,-1,-1,-1,Shubhankar,Not Working
41,49,0,556.45,216.39,164.23,467.52,1,-1,-1,-1,Shubhankar,Not Working
42,50,0,536.72,214.65,174.75,466.0,1,-1,-1,-1,Shubhankar,Not Working
43,51,0,530.04,214.04,179.3,464.58,1,-1,-1,-1,Shubhankar,Not Working
44,52,0,531.51,214.06,177.85,463.47,1,-1,-1,-1,Shubhankar,Not Working
45,53,0,542.44,213.61,171.19,459.99,1,-1,-1,-1,Shubhankar,Not Working
46,54,0,550.94,215.82,164.08,457.79,1,-1,-1,-1,Shubhankar,Not Working
47,55,0,554.1,218.93,159.71,454.98,1,-1,-1,-1,Shubhankar,Not Working
48,56,0,556.32,221.27,156.78,455.45,1,-1,-1,-1,Shubhankar,Not Working
49,57,0,556.61,219.59,154.91,452.25,1,-1,-1,-1,Shubhankar,Not Working
50,58,0,551.96,216.84,146.84,450.63,1,-1,-1,-1,Shubhankar,Not Working
51,59,0,539.42,213.56,135.39,450.55,1,-1,-1,-1,Shubhankar,Not Working
52,60,0,524.38,211.84,132.86,447.55,1,-1,-1,-1,Shubhankar,Not Working
53,61,0,505.55,213.05,138.79,441.41,1,-1,-1,-1,Shubhankar,Not Working
54,62,0,484.33,213.92,150.59,436.97,1,-1,-1,-1,Shubhankar,Not Working
55,63,0,471.91,215.59,162.24,431.35,1,-1,-1,-1,Shubhankar,Not Working
56,64,0,464.84,219.3,171.81,429.64,1,-1,-1,-1,Shubhankar,Not Working
57,65,0,458.89,219.43,173.22,427.0,1,-1,-1,-1,Shubhankar,Not Working
58,66,0,446.86,218.26,165.65,423.9,1,-1,-1,-1,Shubhankar,Not Working
59,67,0,425.63,217.55,157.33,421.99,1,-1,-1,-1,Shubhankar,Not Working
60,68,0,403.54,217.69,155.97,418.52,1,-1,-1,-1,Shubhankar,Not Working
61,69,0,388.79,221.26,156.37,412.18,1,-1,-1,-1,Shubhankar,Not Working
62,70,0,376.94,223.62,156.62,408.47,1,-1,-1,-1,Shubhankar,Not Working
63,71,0,372.83,228.16,155.96,404.38,1,-1,-1,-1,Shubhankar,Not Working
64,72,0,365.67,228.72,157.13,399.31,1,-1,-1,-1,Shubhankar,Not Working
65,73,0,353.54,227.5,157.44,393.1,1,-1,-1,-1,Shubhankar,Not Working
66,74,0,341.63,224.21,155.17,385.99,1,-1,-1,-1,Shubhankar,Not Working
67,75,0,329.17,221.93,153.2,380.19,1,-1,-1,-1,Shubhankar,Not Working
68,76,0,319.91,224.21,151.75,375.07,1,-1,-1,-1,Shubhankar,Not Working
69,77,0,317.26,224.81,150.14,368.53,1,-1,-1,-1,Shubhankar,Not Working
70,78,0,313.34,226.74,149.48,363.41,1,-1,-1,-1,Shubhankar,Not Working
71,79,0,309.94,227.48,148.44,358.3,1,-1,-1,-1,Shubhankar,Not Working
72,80,0,285.22,206.24,144.58,325.05,1,-1,-1,-1,Shubhankar,Not Working
73,81,0,270.38,201.83,138.31,302.72,1,-1,-1,-1,Shubhankar,Not Working
74,82,0,267.92,203.75,129.62,287.41,1,-1,-1,-1,Shubhankar,Not Working
75,83,0,259.76,209.49,127.78,273.9,1,-1,-1,-1,Shubhankar,Not Working
76,84,0,250.17,214.38,129.01,263.72,1,-1,-1,-1,Shubhankar,Not Working
77,85,0,239.7,219.29,130.1,255.39,1,-1,-1,-1,Shubhankar,Not Working
78,86,0,225.84,222.84,131.36,249.81,1,-1,-1,-1,Shubhankar,Not Working
79,87,0,212.98,226.14,131.4,247.34,1,-1,-1,-1,Shubhankar,Not Working
80,88,0,201.72,226.55,129.21,246.36,1,-1,-1,-1,Shubhankar,Not Working
81,89,0,192.85,226.74,126.51,246.13,1,-1,-1,-1,Shubhankar,Working
82,90,0,185.09,226.3,124.54,245.96,1,-1,-1,-1,Shubhankar,Working
83,91,0,178.65,226.52,123.65,245.3,1,-1,-1,-1,Shubhankar,Working
84,92,0,171.1,227.27,122.45,244.53,1,-1,-1,-1,Shubhankar,Working
85,93,0,165.42,228.63,120.47,244.2,1,-1,-1,-1,Shubhankar,Working
86,94,0,158.43,230.95,119.58,244.51,1,-1,-1,-1,Shubhankar,Working
87,95,0,152.13,233.85,118.68,246.59,1,-1,-1,-1,Shubhankar,Working
88,96,0,146.18,235.46,118.89,250.34,1,-1,-1,-1,Shubhankar,Working
89,97,0,139.59,237.14,121.06,256.86,1,-1,-1,-1,Shubhankar,Working
90,98,0,134.37,238.61,124.63,264.89,1,-1,-1,-1,Shubhankar,Working
91,99,0,130.51,237.65,129.64,270.96,1,-1,-1,-1,Shubhankar,Working
92,100,0,126.35,235.88,134.85,271.47,1,-1,-1,-1,Shubhankar,Working
93,101,0,119.35,236.93,140.3,272.76,1,-1,-1,-1,Shubhankar,Working
94,102,0,114.03,237.21,146.2,272.8,1,-1,-1,-1,Shubhankar,Working
95,103,0,112.13,238.61,149.95,272.81,1,-1,-1,-1,Shubhankar,Working
96,104,0,112.35,237.75,151.85,271.64,1,-1,-1,-1,Shubhankar,Working
97,105,0,116.08,238.38,150.21,271.86,1,-1,-1,-1,Shubhankar,Working
98,106,0,125.66,238.92,145.99,270.67,1,-1,-1,-1,Shubhankar,Working
99,107,0,136.32,242.48,142.35,268.71,1,-1,-1,-1,Shubhankar,Working
100,108,0,140.93,251.98,143.29,264.03,1,-1,-1,-1,Shubhankar,Working
101,109,0,140.89,268.47,149.33,254.72,1,-1,-1,-1,Shubhankar,Working
102,110,0,135.95,292.07,156.34,239.26,1,-1,-1,-1,Shubhankar,Working
103,111,0,130.4,313.37,165.77,218.33,1,-1,-1,-1,Shubhankar,Working
104,112,0,128.55,331.31,167.61,200.89,1,-1,-1,-1,Shubhankar,Working
105,113,0,122.4,346.76,166.89,189.11,1,-1,-1,-1,Shubhankar,Working
106,114,0,121.85,356.87,162.47,180.42,1,-1,-1,-1,Shubhankar,Working
107,115,0,120.28,363.05,157.75,172.76,1,-1,-1,-1,Shubhankar,Working
108,116,0,116.39,363.31,157.45,166.51,1,-1,-1,-1,Shubhankar,Working
109,117,0,112.98,364.04,158.71,162.59,1,-1,-1,-1,Shubhankar,Working
110,118,0,109.98,364.66,160.14,159.51,1,-1,-1,-1,Shubhankar,Working
111,119,0,107.67,365.3,162.51,157.31,1,-1,-1,-1,Shubhankar,Working
112,120,0,107.84,365.61,163.41,155.48,1,-1,-1,-1,Shubhankar,Working
113,121,0,108.84,367.06,162.68,153.91,1,-1,-1,-1,Shubhankar,Working
114,122,0,111.07,367.61,160.77,152.49,1,-1,-1,-1,Shubhankar,Working
115,123,0,112.47,369.12,157.72,151.17,1,-1,-1,-1,Shubhankar,Working
116,124,0,114.05,369.94,155.22,149.38,1,-1,-1,-1,Shubhankar,Working
117,125,0,114.75,371.35,152.83,148.33,1,-1,-1,-1,Shubhankar,Working
118,126,0,115.29,371.64,150.81,147.0,1,-1,-1,-1,Shubhankar,Working
119,127,0,114.95,373.24,149.88,146.02,1,-1,-1,-1,Shubhankar,Working
120,128,0,115.02,373.97,149.19,145.3,1,-1,-1,-1,Shubhankar,Working
121,129,0,114.54,374.51,148.7,145.05,1,-1,-1,-1,Shubhankar,Working
122,130,0,113.64,374.06,148.07,144.87,1,-1,-1,-1,Shubhankar,Working
123,131,0,113.71,373.89,147.06,144.73,1,-1,-1,-1,Shubhankar,Working
124,132,0,114.13,373.43,146.59,144.08,1,-1,-1,-1,Shubhankar,Working
125,133,0,113.75,373.52,146.25,143.88,1,-1,-1,-1,Shubhankar,Working
